anchor,n_videos,n_channels,contested,median_views,best_views,first_seen,last_seen,best_title,best_channel
tf2 weapon design,1,1,False,94667,94667,2022-11-23,2022-11-23,[TF2] The Decline of Weapon Design,SpaceGuyOnline
"sears and kmart wait, but why",1,1,False,93057,93057,2023-10-10,2023-10-10,"The Decline Of Sears And Kmart... Wait, But Why?",Business Empires
shoujo anime one year later,1,1,False,93052,93052,2023-04-30,2023-04-30,The Decline of Shoujo Anime: One Year Later,Colleen's Manga Recs
සාගරයට ඉහළින් නැව් ගමන් කරවන පැනමා ඇල මියයමින් තිබෙනවා the panama canal,1,1,False,91624,91624,2023-11-09,2023-11-09,සාගරයට ඉහළින් නැව් ගමන් කරවන පැනමා ඇල මියයමින් තිබෙනවා | The Decline of the Panama Canal,Wishma Lokaya
america s military reflects the overall decline of america itself,1,1,False,91074,91074,2023-08-18,2023-08-18,The Decline of America's Military Reflects the Overall Decline of America Itself,The New Atlas
hollywood and the rise of anime explained,1,1,False,89697,89697,2024-10-17,2024-10-17,The Decline Of Hollywood And The Rise Of Anime Explained,TrulyAB
generalists,1,1,False,89123,89123,2023-10-03,2023-10-03,The Decline Of Generalists,Timothy Cain
french language resisting a colonial history,1,1,False,88166,88166,2022-12-07,2022-12-07,The decline of the French language: resisting a colonial history,TRT World
"northway mall in 41 seconds anchorage, ak shorts mall",1,1,False,86921,86921,2024-11-16,2024-11-16,"The decline of Northway Mall in 41 seconds. - Anchorage, AK #shorts #mall",Almighty Snoop
how did urdu emerge during the mughal empire meenakshi jain,1,1,False,86450,86450,2024-09-13,2024-09-13,How Did Urdu Emerge During the Decline of the Mughal Empire? | Meenakshi Jain,India Unravelled
5 reasons for the mauryan empire इन 5 वजहों से मौर्य काल का पतन हो गया,1,1,False,85467,85467,2024-08-27,2024-08-27,5 Reasons for the decline of the Mauryan Empire | इन 5 वजहों से मौर्य काल का पतन हो गया |,History Connect
how c s lewis predicted modern education,1,1,False,82295,82295,2026-01-12,2026-01-12,How C.S. Lewis Predicted the Decline of Modern Education,ThinkingWest
ukraine & pax americana,1,1,False,81687,81687,2022-12-22,2022-12-22,Ukraine & the Decline of Pax Americana,Sheikh Imran Hosein
pizza hut critikal reacts,1,1,False,80576,80576,2024-09-21,2024-09-21,The Decline of Pizza Hut...| Critikal reacts,Cr1TiKaL Archive
richard wolff us leaders are in denial about the us empire,1,1,False,79839,79839,2025-01-18,2025-01-18,Richard Wolff: US leaders are in denial about the decline of the US empire,Community Church of Boston
chi chi s what happened,1,1,False,77984,77984,2025-11-19,2025-11-19,The Decline of Chi-Chi's...What Happened?,Company Man
policing in britain melanie phillips,1,1,False,77898,77898,2023-05-30,2023-05-30,The Decline of Policing in Britain | Melanie Phillips,John Anderson Media
star trek’s golden age,1,1,False,75372,75372,2023-09-21,2023-09-21,1996 - 2005: The Decline of Star Trek’s Golden Age,The Dave Cullen Show
black male educators,1,1,False,72311,72311,2025-02-06,2025-02-06,The decline of Black male educators,ABC News
6 5 creedmoor,1,1,False,70409,70409,2023-08-11,2023-08-11,The Decline of the 6.5 Creedmoor,Ron Spomer Outdoors
mitsubishi motors কেনো পিছিয়ে পড়েছে mitsubishi motors,1,1,False,68780,68780,2022-08-16,2022-08-16,Mitsubishi Motors কেনো পিছিয়ে পড়েছে? | The Decline of Mitsubishi Motors,Business Inspection BD
mba,1,1,False,66564,66564,2025-01-22,2025-01-22,The decline of the MBA,Michael Girdley
harry & meghan and hollywood what you need to know,1,1,False,65297,65297,2024-10-02,2024-10-02,Harry & Meghan And The Decline Of Hollywood: What You Need To Know!,PDina
higher education professor reacts to harvard president claudine gay controversy,1,1,False,63931,63931,2023-12-12,2023-12-12,The Decline of Higher Education? Professor Reacts to Harvard President Claudine Gay Controversy,Professor Nez
brics and us dollar a new era of global finance shorts india upsc bpsc brics,1,1,False,63004,63004,2024-10-30,2024-10-30,BRICS and the Decline of US Dollar: A New Era of Global Finance #shorts #india #upsc #bpsc #brics,World Analysis
ex w a s p guitarist chris holmes on the pool scene in western civilization part ii,1,1,False,59900,59900,2022-09-27,2022-09-27,Ex-W.A.S.P. Guitarist Chris Holmes on the Pool Scene in The Decline of Western Civilization Part II,full in bloom
christianity is bad news,1,1,False,59258,59258,2023-09-15,2023-09-15,The Decline of Christianity is BAD News!,InspiringPhilosophy
six big reasons for the real estate sector javed chaudhry sx1r,1,1,False,56657,56657,2023-03-17,2023-03-17,Six Big Reasons For The Decline Of The Real Estate Sector | Javed Chaudhry | SX1R,Javed Chaudhry
western civilization goodbye old world,1,1,False,55103,55103,2023-03-14,2023-03-14,The Decline of Western Civilization - Goodbye Old World!,Dark New World
islam and rise of islamic terrorism,1,1,False,42689,42689,2023-12-02,2023-12-02,The Decline of Islam and Rise of Islamic Terrorism,Islam Critiqued
nofx rise and fall of fat mike,1,1,False,42633,42633,2023-02-21,2023-02-21,The Decline of NoFX - Rise and Fall of Fat Mike,danframpt0n
10 amazing stats about the west,1,1,False,40530,40530,2023-04-12,2023-04-12,10 amazing stats about the decline of the west,Fridayeveryday
vehicle physics in arcade racers,1,1,False,39246,39246,2023-03-25,2023-03-25,The Decline of Vehicle Physics in Arcade Racers,Gamer Alex
mykhailo mudryk,1,1,False,38671,38671,2023-09-13,2023-09-13,The Decline Of Mykhailo Mudryk,Rory Jennings
gengetone what went wrong,1,1,False,34409,34409,2024-01-08,2024-01-08,The Decline of Gengetone – What Went Wrong?,Ongori Reports
what is the reason for buddhism virad dubey upsc studyiq ias hindi,1,1,False,30439,30439,2024-01-03,2024-01-03,What is the reason for the decline of Buddhism? | Virad Dubey | UPSC 2024 | StudyIQ IAS Hindi,StudyIQ IAS हिंदी
एक चिट्ठी ने कैसे खत्म कर दिया विजयनगर साम्राज्य vijayanagara empire krishna dev,1,1,False,27435,27435,2024-02-10,2024-02-10,एक चिट्ठी ने कैसे खत्म कर दिया विजयनगर साम्राज्य? | The Decline of Vijayanagara Empire | Krishna Dev,History Connect
cinema sam hyde s take on modern movies,1,1,False,23114,23114,2023-11-02,2023-11-02,The Decline of Cinema: Sam Hyde's Take on Modern Movies,Laugh Riot Clippings
retro video game collecting,1,1,False,19393,19393,2023-08-16,2023-08-16,The Decline of Retro Video Game Collecting!,Game Plug
dangerous indiscretions the house of windsor,1,1,False,0,0,2024-03-23,2024-03-23,Dangerous Indiscretions: The Decline of the House of Windsor,YouTube Movies
"western civilization, part ii the metal years",1,1,False,0,0,2024-04-08,2024-04-08,"The Decline Of Western Civilization, Part II: The Metal Years",YouTube Movies
western civilization,1,1,False,0,0,2024-04-19,2024-04-19,The Decline Of Western Civilization,YouTube Movies
